id,date.entered,Weeks,Counts
0,2000-09-23,1,78.0
0,2000-09-23,2,63.0
0,2000-09-23,3,49.0
0,2000-09-23,4,33.0
0,2000-09-23,5,23.0
0,2000-09-23,6,15.0
0,2000-09-23,7,7.0
0,2000-09-23,8,5.0
0,2000-09-23,9,1.0
0,2000-09-23,10,1.0
0,2000-09-23,11,1.0
0,2000-09-23,12,1.0
0,2000-09-23,13,1.0
0,2000-09-23,14,1.0
0,2000-09-23,15,1.0
0,2000-09-23,16,1.0
0,2000-09-23,17,1.0
0,2000-09-23,18,1.0
0,2000-09-23,19,1.0
0,2000-09-23,20,2.0
0,2000-09-23,21,3.0
0,2000-09-23,22,7.0
0,2000-09-23,23,10.0
0,2000-09-23,24,12.0
0,2000-09-23,25,15.0
0,2000-09-23,26,22.0
0,2000-09-23,27,29.0
0,2000-09-23,28,31.0
0,2000-09-23,29,
0,2000-09-23,30,
0,2000-09-23,31,
0,2000-09-23,32,
0,2000-09-23,33,
0,2000-09-23,34,
0,2000-09-23,35,
0,2000-09-23,36,
0,2000-09-23,37,
0,2000-09-23,38,
0,2000-09-23,39,
0,2000-09-23,40,
0,2000-09-23,41,
0,2000-09-23,42,
0,2000-09-23,43,
0,2000-09-23,44,
0,2000-09-23,45,
0,2000-09-23,46,
0,2000-09-23,47,
0,2000-09-23,48,
0,2000-09-23,49,
0,2000-09-23,50,
0,2000-09-23,51,
0,2000-09-23,52,
0,2000-09-23,53,
0,2000-09-23,54,
0,2000-09-23,55,
0,2000-09-23,56,
0,2000-09-23,57,
0,2000-09-23,58,
0,2000-09-23,59,
0,2000-09-23,60,
0,2000-09-23,61,
0,2000-09-23,62,
0,2000-09-23,63,
0,2000-09-23,64,
0,2000-09-23,65,
0,2000-09-23,66,
0,2000-09-23,67,
0,2000-09-23,68,
0,2000-09-23,69,
0,2000-09-23,70,
0,2000-09-23,71,
0,2000-09-23,72,
0,2000-09-23,73,
0,2000-09-23,74,
0,2000-09-23,75,
0,2000-09-23,76,
1,2000-02-12,1,15.0
1,2000-02-12,2,8.0
1,2000-02-12,3,6.0
1,2000-02-12,4,5.0
1,2000-02-12,5,2.0
1,2000-02-12,6,3.0
1,2000-02-12,7,2.0
1,2000-02-12,8,2.0
1,2000-02-12,9,1.0
1,2000-02-12,10,1.0
1,2000-02-12,11,1.0
1,2000-02-12,12,1.0
1,2000-02-12,13,1.0
1,2000-02-12,14,1.0
1,2000-02-12,15,1.0
1,2000-02-12,16,1.0
1,2000-02-12,17,1.0
1,2000-02-12,18,1.0
1,2000-02-12,19,8.0
1,2000-02-12,20,15.0
1,2000-02-12,21,19.0
1,2000-02-12,22,21.0
1,2000-02-12,23,26.0
1,2000-02-12,24,36.0
1,2000-02-12,25,48.0
1,2000-02-12,26,47.0
1,2000-02-12,27,
1,2000-02-12,28,
1,2000-02-12,29,
1,2000-02-12,30,
1,2000-02-12,31,
1,2000-02-12,32,
1,2000-02-12,33,
1,2000-02-12,34,
1,2000-02-12,35,
1,2000-02-12,36,
1,2000-02-12,37,
1,2000-02-12,38,
1,2000-02-12,39,
1,2000-02-12,40,
1,2000-02-12,41,
1,2000-02-12,42,
1,2000-02-12,43,
1,2000-02-12,44,
1,2000-02-12,45,
1,2000-02-12,46,
1,2000-02-12,47,
1,2000-02-12,48,
1,2000-02-12,49,
1,2000-02-12,50,
1,2000-02-12,51,
1,2000-02-12,52,
1,2000-02-12,53,
1,2000-02-12,54,
1,2000-02-12,55,
1,2000-02-12,56,
1,2000-02-12,57,
1,2000-02-12,58,
1,2000-02-12,59,
1,2000-02-12,60,
1,2000-02-12,61,
1,2000-02-12,62,
1,2000-02-12,63,
1,2000-02-12,64,
1,2000-02-12,65,
1,2000-02-12,66,
1,2000-02-12,67,
1,2000-02-12,68,
1,2000-02-12,69,
1,2000-02-12,70,
1,2000-02-12,71,
1,2000-02-12,72,
1,2000-02-12,73,
1,2000-02-12,74,
1,2000-02-12,75,
1,2000-02-12,76,
2,1999-10-23,1,71.0
2,1999-10-23,2,48.0
2,1999-10-23,3,43.0
2,1999-10-23,4,31.0
2,1999-10-23,5,20.0
